prime,op,n_pow,n,avg_ms,min_ms,max_ms,ms_per_item,fingerprint
M61,multipoint_eval_tree,12,4096,48.439,48.427,48.452,0.011825978,cfb9e57f9c150826
M61,batch_inv,12,4096,0.064,0.062,0.067,0.000015532,9dc0d5da2f4e5e85
M61,subproduct_build,13,8192,32.156,32.147,32.170,0.003925326,64f0fbe603924505
M61,poly_mul,13,8192,5.408,5.403,5.412,0.000660166,5c4be80c7d11d381
M61,poly_divrem,13,8192,30.772,30.749,30.785,0.003756303,e563f7cb84a8bd67
M61,poly_mod,13,8192,30.759,30.740,30.785,0.003754733,8d64f87423de98db
M61,derivative,13,8192,0.049,0.049,0.050,0.000006021,ba1b1169e587dbb
M61,multipoint_eval_tree,13,8192,125.831,125.785,125.886,0.015360181,2b43fe4c696b7368
M61,batch_inv,13,8192,0.123,0.122,0.124,0.000014994,f1def62587f50005
M61,subproduct_build,14,16384,75.252,75.225,75.267,0.004592998,4df40ecef076fc8c
M61,poly_mul,14,16384,11.633,11.618,11.646,0.000709992,41e87ae20b2a62e4
M61,poly_divrem,14,16384,65.696,65.621,65.754,0.004009737,88906d0c55ee2afd
M61,poly_mod,14,16384,65.678,65.660,65.690,0.004008648,c027507cad4a46c
M61,derivative,14,16384,0.100,0.098,0.103,0.000006103,f3c0fd1dadc11402
M61,multipoint_eval_tree,14,16384,313.268,313.137,313.383,0.019120350,b31a344f0829dde
M61,batch_inv,14,16384,0.245,0.243,0.250,0.000014981,2a0e3ef3aa662098
M61,subproduct_build,15,32768,175.222,174.714,176.163,0.005347354,773f4ba31d642902
M61,poly_mul,15,32768,24.990,24.916,25.070,0.000762648,59dd5e26bb58a79c
M61,poly_divrem,15,32768,140.769,140.754,140.777,0.004295921,7f4dec91efc985e3
M61,poly_mod,15,32768,140.669,140.611,140.774,0.004292883,4ec8c70b5a588039
M61,derivative,15,32768,0.197,0.193,0.199,0.000006015,7a60f600f269a9ab
M61,multipoint_eval_tree,15,32768,759.688,759.527,760.010,0.023183846,9406d18f36e58152
M61,batch_inv,15,32768,0.491,0.487,0.496,0.000014970,66426f5de2909ae6
M61,subproduct_build,16,65536,402.146,400.861,404.296,0.006136265,bd475d7357013cab
M61,poly_mul,16,65536,53.076,52.968,53.166,0.000809868,1b2e1eb6295f7e5a
M61,poly_divrem,16,65536,316.623,316.611,316.640,0.004831288,66cfede4eb1be180
M61,poly_mod,16,65536,316.834,316.681,317.005,0.004834506,f26bacb3845fd019
M61,derivative,16,65536,0.394,0.389,0.402,0.000006009,138281a06aae8f16
M61,multipoint_eval_tree,16,65536,1834.653,1794.760,1856.093,0.027994585,2ea8d7e86f395489
M61,batch_inv,16,65536,0.978,0.971,0.982,0.000014926,82d592fb3d3bfcb3
M61,subproduct_build,17,131072,911.109,905.870,914.694,0.006951211,646eba690d379d79
M61,poly_mul,17,131072,112.720,112.270,112.983,0.000859987,35ae8e60e0d9a31c
M61,poly_divrem,17,131072,639.936,639.779,640.136,0.004882323,a6f87ea11710ddb5
M61,poly_mod,17,131072,639.893,639.761,639.984,0.004881999,fbab09a1e6ed987d
M61,derivative,17,131072,0.793,0.788,0.800,0.000006054,25cbba6ae6945946
M61,multipoint_eval_tree,17,131072,4213.078,4204.176,4227.824,0.032143233,791561a1241810fa
M61,batch_inv,17,131072,1.963,1.950,1.973,0.000014973,ad6e2c3878f33207
M61,subproduct_build,18,262144,2076.843,2073.939,2081.882,0.007922527,915897db4e1ac29c
M61,poly_mul,18,262144,239.767,239.593,239.948,0.000914638,2521e843916edbb
M61,poly_divrem,18,262144,1364.756,1364.501,1365.163,0.005206129,5569cfdd68601bc8
M61,poly_mod,18,262144,1365.101,1364.161,1366.183,0.005207448,7e0382763d658c7
M61,derivative,18,262144,1.578,1.565,1.604,0.000006021,b7392d12abc69a1d
M61,multipoint_eval_tree,18,262144,9840.514,9823.794,9852.634,0.037538582,70e5f2ed9ce7d9c2
M61,batch_inv,18,262144,3.921,3.896,3.964,0.000014958,72dda84dc59c8d1
M61,subproduct_build,19,524288,4693.208,4679.828,4714.780,0.008951583,8a43fd264c20d4c5
M61,poly_mul,19,524288,507.916,507.849,508.019,0.000968773,543a376159d41cdc
M61,poly_divrem,19,524288,2906.638,2905.480,2907.910,0.005543973,2afc0e37a8b7dd
M61,poly_mod,19,524288,2908.341,2906.134,2910.605,0.005547220,3f40faa84ffd0f52
M61,derivative,19,524288,3.166,3.134,3.226,0.000006038,ac4b1e8cdefca56b
M61,multipoint_eval_tree,19,524288,22799.197,22792.527,22811.420,0.043486016,7af10cf5f91a5c70
M61,batch_inv,19,524288,7.900,7.861,7.936,0.000015067,9a6d95f904e428c
M61,subproduct_build,20,1048576,10786.202,10744.448,10850.890,0.010286524,78f2405ba6c8c517
M61,poly_mul,20,1048576,1106.631,1106.059,1107.168,0.001055365,f9ddb70c8d7ce49d
M61,poly_divrem,20,1048576,6329.992,6317.709,6341.304,0.006036750,dfdf42bb3441421f
M61,poly_mod,20,1048576,6327.397,6325.841,6329.231,0.006034276,c784f54e3e65f78b
M61,derivative,20,1048576,6.393,6.319,6.455,0.000006097,76bcc832fa98591a
M61,multipoint_eval_tree,20,1048576,52817.502,52767.079,52851.647,0.050370695,f7fbbcc440b64f90
M61,batch_inv,20,1048576,15.776,15.714,15.840,0.000015045,496d046081429ce
